,group_name,n_user_recommend,n_user_timeline,posts_per_day,n_members,n_user_recommend_by_friend,n_panelists,%_user_recommend,is_political,group_slug
1,Good Ole Soul Food Recipes,16,13,26000.0,1300000.0,4.0,116,13.79310344827586,False,goodolesoulfoodrecipes
2,The Marriage Club,15,2,20000.0,927000.0,3.0,116,12.93103448275862,False,themarriage
3,Field and Barn Finds-Classic Cars/Trucks For Sale or Trade,14,1,2600.0,421000.0,4.0,116,12.06896551724138,False,fieldandbarnfinds
4,The Dodo,14,0,250.0,73000.0,0.0,116,12.06896551724138,False,1465656230308941
5,80s/90s/ Early 2000s Nostalgia Haven,14,26,62000.0,819000.0,9.0,116,12.06896551724138,False,havenfornostalgia
6,Relationship Memes,13,3,81000.0,1300000.0,7.0,116,11.20689655172414,False,745781992655123
7,Cheap Meal Ideas,13,10,47000.0,1300000.0,6.0,116,11.20689655172414,False,cheapmealideas
8,Freebies!,12,1,70.0,20000.0,7.0,116,10.344827586206897,False,1675489819405284
9,The Far Side,12,60,158000.0,1100000.0,10.0,116,10.344827586206897,False,1745254632988727
10,FreebieShark's Official Group,11,3,20.0,36000.0,0.0,116,9.482758620689657,False,355345221879011
11,Relationship Love Quotes,11,0,60.0,193000.0,0.0,116,9.482758620689657,False,1673727879506684
12,Amazing World,11,0,1000.0,182000.0,1.0,116,9.482758620689657,False,AmazingAnimalsAndBeautifulNature
13,"DIY,Ideas,Projects,Crafts and more",11,0,270.0,583000.0,0.0,116,9.482758620689657,False,diycrafters
14,Relationship Goals 💗,10,0,8900.0,981000.0,4.0,116,8.620689655172415,False,relationshipsandgoals
15,So in Love,10,0,250.0,38000.0,0.0,116,8.620689655172415,False,947903761936913
16,Doggy Memes & Videos,10,2,13000.0,627000.0,0.0,116,8.620689655172415,False,298677437407106
17,Instant Pot Recipes Only,10,2,200.0,1300000.0,1.0,116,8.620689655172415,False,iproinstantpotrecipesonly
18,❤️Love Life  ❤️,10,0,200.0,378000.0,0.0,116,8.620689655172415,False,1776625369264636
19,Vietnamese Cooking Group,9,1,430.0,249000.0,4.0,116,7.758620689655173,False,vietnamesecooking
20,Dhar Mann Official FAN page- Asia/Middle East/Europe/Africa,9,1,2300.0,177000.0,2.0,116,7.758620689655173,False,715765915844430
21,RELATIONSHIP & DATING TIPS,9,0,5900.0,2200000.0,1.0,116,7.758620689655173,False,1394144950809418
22,Disapproving Corgis,9,5,2500.0,1000000.0,2.0,116,7.758620689655173,False,555989291132852
23,Our Relationship Rules,9,0,9.0,12000.0,0.0,116,7.758620689655173,False,1556129071349255
24,Weird Secondhand Finds That Just Need To Be Shared,9,15,6600.0,2000000.0,4.0,116,7.758620689655173,False,WeirdSecondhandFinds
25,A Group Where We Pretend its 2009-2012,9,0,350.0,226000.0,2.0,116,7.758620689655173,False,660106451492374
26,"Guide2Free FREE Samples, Freebies, Product Testing, Direct Ship & More",8,0,30.0,19000.0,4.0,116,6.896551724137932,False,guide2free
27,Positive Quotes about Everything,8,0,270.0,107000.0,0.0,116,6.896551724137932,False,ralph.okereke
28,Netflix Bangers,8,0,3100.0,752000.0,1.0,116,6.896551724137932,False,NetflixBangers
29,Ashley's free sample and direct ship!,8,1,60.0,21000.0,6.0,116,6.896551724137932,False,943995465932302
30,Dad Jokes Everywhere,8,10,33000.0,749000.0,5.0,116,6.896551724137932,False,1270525996445602
31,Funny Christmas Memes!,8,1,15000.0,41000.0,1.0,116,6.896551724137932,False,1736565846669665
32,Dogspotting,8,7,2200.0,1800000.0,2.0,116,6.896551724137932,False,dogspotting
33,Instant Pot® Community,8,9,5100.0,2800000.0,1.0,116,6.896551724137932,False,InstantPotCommunity
34,Please show to Jim ! ! HA ! ! HA ! !,8,2,150.0,350000.0,1.0,116,6.896551724137932,False,pleaseshowtojimhaha
35,1970s ✌ doyouremember.com,7,29,42000.0,804000.0,0.0,116,6.0344827586206895,False,DoYouRememberThe70sFanClub
36,"Antique, Classic and Muscle Cars (For Sale Group)",7,0,650.0,168000.0,0.0,116,6.0344827586206895,False,383734698489569
37,LEGIT FREEBIES & MORE!,7,1,120.0,22000.0,3.0,116,6.0344827586206895,False,RealLegitFreebies
38,TRUE LOVE STORY,7,0,80.0,375000.0,0.0,116,6.0344827586206895,False,186097875088248
39,Ibotta's Saver Community,7,2,40.0,14000.0,3.0,116,6.0344827586206895,False,489979948525993
40,The Far Side,7,5,13000.0,171000.0,7.0,116,6.0344827586206895,False,franksthefarside
41,Freebie Mom,7,6,160.0,203000.0,0.0,116,6.0344827586206895,False,FreebieMomGroup
42,Moments of love,7,0,20.0,4300000.0,1.0,116,6.0344827586206895,False,427300884733797
43,Positive Quotes,7,14,86000.0,1900000.0,4.0,116,6.0344827586206895,False,vibeswithquotes
44,♥  LIGHTWORKERS of THE WORLD  ♥,7,0,1600.0,356000.0,0.0,116,6.0344827586206895,False,lightworkersoftheworldgroup
45,Love Quotes,7,0,20.0,20000.0,0.0,116,6.0344827586206895,False,dailybestquotes
46,Dr Pimple videos,7,0,570.0,70000.0,3.0,116,6.0344827586206895,False,821660281660050
47,Extreme Love Group,7,0,10.0,107000.0,0.0,116,6.0344827586206895,False,921620331341198
48,💞🐶 Dachshund Love 🐶💞,7,0,330.0,152000.0,0.0,116,6.0344827586206895,False,615798308836950
49,Cast Iron Cooking,7,0,560.0,375000.0,0.0,116,6.0344827586206895,False,castironskillet
50,Cheap Cars for Sale by Owner,7,0,710.0,292000.0,0.0,116,6.0344827586206895,False,CheapCarsforSalebyOwner
51,Husband and Wife love zone,6,0,20.0,42000.0,1.0,116,5.172413793103448,False,familyquotesandsayings
52,Lover's Touch🔥,6,0,5.0,58000.0,0.0,116,5.172413793103448,False,loverstouch
53,Heartbroken Quotes,6,0,160.0,342000.0,0.0,116,5.172413793103448,False,HeartbrokenHeartbreak
54,Caribbean Recipes,6,0,230.0,153000.0,1.0,116,5.172413793103448,False,caribbeanrecipes
55,LOVE QUOTE AND UPDATE,6,0,60.0,373000.0,0.0,116,5.172413793103448,False,lovequotesandup
56,Cute couples/romantic quotes,6,0,3.0,40000.0,0.0,116,5.172413793103448,False,696517170464297
57,TRUE QUOTES IN RELATIONSHIPS.,6,0,620.0,88000.0,0.0,116,5.172413793103448,False,1060537210678236
58,Air Fryer Tips and Recipes,6,3,1200.0,1000000.0,4.0,116,5.172413793103448,False,1522233111383384
59,Funny Huskies,6,1,3000.0,75000.0,0.0,116,5.172413793103448,False,446189602763629
60,Relationship Advice,6,0,10.0,26000.0,0.0,116,5.172413793103448,False,1071326686313255
61,🔥 Seafood & Soul Food Recipe Foodies 😋 The Original!,6,0,8500.0,1000000.0,3.0,116,5.172413793103448,False,1723785341058341
62,"Art, Crafts & DIY",6,0,2300.0,1100000.0,1.0,116,5.172413793103448,False,448418102231723
63,Female Problems,6,3,34000.0,2500000.0,3.0,116,5.172413793103448,False,302754303587678
64,Love & Relationships,6,0,240.0,56000.0,0.0,116,5.172413793103448,False,253339635206890
65,The Relationship Quotes,6,0,10.0,91000.0,0.0,116,5.172413793103448,False,181478352675525
66,BROKEN HEART QUOTES,6,0,710.0,66000.0,0.0,116,5.172413793103448,False,1655779691314943
67,Fan Valkyrae,6,0,30.0,4000.0,0.0,116,5.172413793103448,False,2703794099931118
68,I Was A 90s Nick Kid,5,5,18000.0,444000.0,2.0,116,4.310344827586206,False,339316896730326
69,Cool Dog Group,5,1,380.0,770000.0,1.0,116,4.310344827586206,False,cooldogpictures
70,Abandoned and Neglected Vehicles For SALE,5,0,40.0,140000.0,0.0,116,4.310344827586206,False,565525893463925
71,Instant Pot Vietnamese Food Recipes,5,1,30.0,133000.0,0.0,116,4.310344827586206,False,1743007402687050
72,Johnny depp,5,0,10000.0,187000.0,3.0,116,4.310344827586206,False,312754449114846
73,Cars For Sale In Nj,5,0,5300.0,84000.0,0.0,116,4.310344827586206,False,1413799648841377
74,THIS CAT IS C H O N K Y,5,12,1700.0,854000.0,2.0,116,4.310344827586206,False,133018060894811
75,Ibotta Friends and Bonuses,5,1,180.0,48000.0,2.0,116,4.310344827586206,False,ibottafriendsandbonuses
76,Manhattan Before 1990,5,4,430.0,38000.0,1.0,116,4.310344827586206,False,ManhattanBefore1990
77,LOVE STORY/POEMS,5,0,50.0,196000.0,0.0,116,4.310344827586206,False,1612700025646277
78,Makeup Lovers,5,1,2000.0,1000000.0,3.0,116,4.310344827586206,False,metdaanmakeup
79,BROKEN HEART QUOTES,5,0,20.0,68000.0,0.0,116,4.310344827586206,False,1612811908846261
80,"That’s It, I’m Eyelash Shaming",5,1,210.0,195000.0,2.0,116,4.310344827586206,False,439337006740498
81,"Totally free samples, full size products & Awesome Deals!!",5,1,40.0,25000.0,2.0,116,4.310344827586206,False,1344521995605248
82,5-Minute Diy Arts & Crafts,5,0,680.0,1100000.0,1.0,116,4.310344827586206,False,429942787554685
83,Cute Thoughts,5,0,130.0,19000.0,0.0,116,4.310344827586206,False,547300889430305
84,Good Old Days,5,23,41000.0,466000.0,1.0,116,4.310344827586206,False,goodoldday
85,Welsh Twins,5,0,70.0,43000.0,1.0,116,4.310344827586206,False,2594255977552495
86,"That’s it, I’m hair shaming",5,1,140.0,51000.0,1.0,116,4.310344827586206,False,1011383475870285
87,Shopkicks,5,0,20.0,5000.0,1.0,116,4.310344827586206,False,1031221893601183
88,"VonBeau - Freebies, Samples, Deals & Coupons!",5,2,40.0,26000.0,1.0,116,4.310344827586206,False,vonbeau
89,Old Images of New York Group,5,1,20.0,52000.0,0.0,116,4.310344827586206,False,oldimagesofNY
90,Muscle Car Lovers,5,3,9400.0,272000.0,0.0,116,4.310344827586206,False,191764417981264
91,#1 Baby Yoda Memes,5,3,19000.0,116000.0,1.0,116,4.310344827586206,False,babyyodamandomemes
92,Doggo,5,0,2300.0,59000.0,0.0,116,4.310344827586206,False,209944383373686
93,Turner Classic Movies For Fans!,5,2,1900.0,153000.0,0.0,116,4.310344827586206,False,TCMforFans
94,Relationship quotes ❤❤,5,1,19000.0,530000.0,0.0,116,4.310344827586206,False,652804825212215
95,Emo Memes Melt Steel Beams,5,2,11000.0,189000.0,1.0,116,4.310344827586206,False,396576840933203
96,Official Sweepstakes Fanatics Group,5,5,350.0,10000.0,1.0,116,4.310344827586206,False,sweepstakesfanatics
97,Quotes Lovers,5,0,20.0,79000.0,0.0,116,4.310344827586206,False,QuotesLoversJoinUs
98,Love My Husband Quotes,5,0,10.0,47000.0,0.0,116,4.310344827586206,False,LoveMyHusbandQuotes
99,𝐆𝐡𝐢𝐛𝐥𝐢 𝐀𝐞𝐬𝐭𝐡𝐞𝐭𝐢𝐜,5,0,13000.0,591000.0,1.0,116,4.310344827586206,False,ghibliaesthetic
100,Jobs In New York City NYC,5,0,40.0,75000.0,0.0,116,4.310344827586206,False,817192751725834
